Ref_Key,DataVersion,DeletionMark,Code,Description,Организация_Key,Комментарий,Predefined,PredefinedDataName,LineNumber,СчетЗатрат_Key,ПодразделениеОрганизации_Key,Субконто1,Субконто1_Type,Субконто2,Субконто2_Type,Субконто3,Субконто3_Type,Коэффициент
316196de-7321-11ec-8111-0242ac120003,AAAAAQAAAAA=,false,000000001,Амортизация (счет 20.01),00000000-0000-0000-0000-000000000000,,false,,1,d6504559-7320-11ec-95fd-0242ac120003,00000000-0000-0000-0000-000000000000,316196d8-7321-11ec-8111-0242ac120003,StandardODATA.Catalog_НоменклатурныеГруппы,316196db-7321-11ec-8111-0242ac120003,StandardODATA.Catalog_СтатьиЗатрат,00000000-0000-0000-0000-000000000000,StandardODATA.Catalog_Номенклатура,1
316196df-7321-11ec-8111-0242ac120003,AAAAAQAAAAE=,false,000000002,Амортизация (счет 26),00000000-0000-0000-0000-000000000000,,false,,1,d650455e-7320-11ec-95fd-0242ac120003,00000000-0000-0000-0000-000000000000,316196db-7321-11ec-8111-0242ac120003,StandardODATA.Catalog_СтатьиЗатрат,,StandardODATA.Undefined,,StandardODATA.Undefined,1
316196e0-7321-11ec-8111-0242ac120003,AAAAAQAAAAI=,false,000000003,Амортизация (счет 44.01),00000000-0000-0000-0000-000000000000,,false,,1,d650456f-7320-11ec-95fd-0242ac120003,00000000-0000-0000-0000-000000000000,316196db-7321-11ec-8111-0242ac120003,StandardODATA.Catalog_СтатьиЗатрат,,StandardODATA.Undefined,,StandardODATA.Undefined,1
